coating,substrate,adhesion
Coating_A,Steel,84.8289589384501
Coating_B,Steel,88.8099844261811
Coating_C,Steel,84.6234149932308
Coating_D,Steel,89.4289602327729
Coating_A,Aluminum,81.3020933586781
Coating_B,Aluminum,79.3187231493997
Coating_C,Aluminum,72.1350962493824
Coating_D,Aluminum,82.4324269377772
Coating_A,Copper,88.6609398483091
Coating_B,Copper,91.1338205423098
Coating_C,Copper,91.2730821839586
Coating_D,Copper,95.3713272060057
Coating_A,Titanium,93.2753772326526
Coating_B,Titanium,90.9709460053382
Coating_C,Titanium,83.654849659305
Coating_D,Titanium,93.6438425884538
Coating_A,Nickel,78.6335233154947
Coating_B,Nickel,79.4507277340478
Coating_C,Nickel,75.6341496448251
Coating_D,Nickel,90.044486380754
